name,symbol,token_address,pair_address,liquidity_usd,age_days,dex,quote,labels,vol24h_usd,txns24h,fdv_usd,market_cap_usd,websites,socials,qualifying_pairs,dexscreener_url,screened,honeypot_is_state,honeypot_is_result,honeypot_is_risk,goplus_state,goplus_is_honeypot,buy_tax_pct,sell_tax_pct,holder_count,lp_holder_count,owner_percent,creator_percent,src_verified,contract_name,risk_flags,memeish_name,drop_reason
HASH Market Token,HASH,0xA55E9422BF173a3d5275F756B15683cCd509CBEF,0xCE448A804a2A00faB11B67e9830687C5646D187E,366193.86,29.4,pancakeswap,USDT,v2,8370.31,121,620820,620820,,,1,https://dexscreener.com/bsc/0xce448a804a2a00fab11b67e9830687c5646d187e,True,not_indexed,,,ok,1,,,874,3,0.0,0.000000,True,HASH,blacklist_fn,False,confirmed honeypot
RMT,RMT,0x18b866363a03E1e1eF4E61648E253bE8E2a2d682,0x5fbd0EED09f1fDf8Ed6cE503ce2fFDA8a5988d69,283702.67,36.4,pancakeswap,WBNB,v2,4498.11,2348,1539130,1539130,,,1,https://dexscreener.com/bsc/0x5fbd0eed09f1fdf8ed6ce503ce2ffda8a5988d69,True,not_indexed,,,ok,1,,,3283,4,0.0,0.000000,True,RMT,pausable|blacklist_fn,False,confirmed honeypot
AW,AW,0x4B1AaCD47bED1bD9f91935aBE149DfD8B2777777,0x88d81ca52cE8147917aFC8A9aa4D5AC835915636,165348.53,31.7,pancakeswap,TaiJi,v2,6975.68,177,1302620,1302620,,,1,https://dexscreener.com/bsc/0x88d81ca52ce8147917afc8a9aa4d5ac835915636,True,ok,True,honeypot,ok,0,0.99,50.03,11450,3,0.0,0.000000,True,ATW,,False,confirmed honeypot; sell tax 50%
